Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,0.1u,C_0402_1005Metric,130.0528,-80.8988,90,top
C2,1u,C_0402_1005Metric,142.0416,-90.6804,270,top
C3,0.1u,C_0402_1005Metric,142.8798,-85.8798,0,top
C4,1u,C_0402_1005Metric,142.8798,-84.7368,0,top
C5,0.1u,C_0402_1005Metric,119.588,-104.244,0,top
C7,0.1u,C_0402_1005Metric,124.0965,-111.6735,270,top
C8,0.1u,C_0402_1005Metric,124.0965,-113.7055,270,top
C9,10u,L_1206_3216Metric,148.798,-108.3588,270,top
C10,10u,L_0603_1608Metric,146.9184,-100.2816,0,top
C11,120u,C_1206_3216Metric,149.7886,-87.48,180,top
C13,1u,C_0402_1005Metric,130.764,-95.862,270,top
C14,1u,C_0402_1005Metric,129.367,-95.862,270,top
C15,1u,C_0402_1005Metric,140.543,-95.989,270,top
C16,2.2u,C_0402_1005Metric,126.192,-96.37,180,top
C17,1u,C_0402_1005Metric,141.94,-95.989,270,top
C18,2.2u,C_0402_1005Metric,124.16,-95.608,180,top
D12,1N5817,D_SOD-123,151.4396,-98.8084,90,top
D21,SS16HE3_B/I,D_SMA,148.3916,-103.3296,180,top
D22,SMBJ16CD-M3/H,D_SMB,144.734,-110.975,90,top
J1,Conn_02x03_Odd_Even,PinHeader_2x03_P2.54mm_Vertical_SMD,120.858,-84.686,0,top
L1,100uH,L_0805_2012Metric,151.6174,-93.4236,90,top
L2,30,L_0402_1005Metric,142.8778,-87.1498,180,top
R1,10k,R_0402_1005Metric,138.1046,-92.4076,0,top
R6,10k,R_0402_1005Metric,120.604,-77.7264,180,top
R10,10k,R_0402_1005Metric,116.413,-99.037,180,top
R11,10k,R_0402_1005Metric,116.54,-92.814,180,top
R12,10k,R_0402_1005Metric,116.54,-94.211,0,top
R13,10k,R_0402_1005Metric,116.54,-95.608,180,top
R14,10k,R_0402_1005Metric,116.413,-100.307,180,top
R15,10k,R_0402_1005Metric,116.413,-101.577,180,top
R22,10k,R_0402_1005Metric,120.6548,-79.2504,180,top
R24,10k,R_0402_1005Metric,134.955,-95.989,180,top
R25,10k,R_0402_1005Metric,136.1488,-94.8968,0,top
R26,10k,R_0402_1005Metric,139.146,-95.989,270,top
U1,STM32F042K6Tx,LQFP-32_7x7mm_P0.8mm,135.6408,-86.21,180,top
U2,SN65HVD230,SOIC-8_3.9x4.9mm_P1.27mm,119.588,-108.816,180,top
U3,2594,SOIC-8_3.9x4.9mm_P1.27mm,147.1724,-92.9156,180,top
